"ENSEMBL","fc","adj.P.Val"
"ENSG00000156521",-8.21789610392605,6.71391242821668e-07
"ENSG00000110400",-10.8741877941143,6.71681840736685e-07
"ENSG00000130822",5.25208430916399,6.71681840736685e-07
"ENSG00000266976",3.47182254484882,5.93126894409207e-07
"ENSG00000169575",-5.93613169840057,6.31864694091334e-07
"ENSG00000077097",-5.96218092875031,6.03603642355617e-07
"ENSG00000130158",5.31361495487368,6.63688079057087e-07
"ENSG00000169442",-9.67089112648196,6.75890009341999e-07
"ENSG00000075340",3.793311931132,6.43736781638817e-07
"ENSG00000137825",4.5862474066389,6.75890009341999e-07
"ENSG00000154016",-10.9666650467855,6.69291211865165e-07
"ENSG00000165996",-4.92056741623046,6.79552343500465e-07
"ENSG00000271856",-7.16108791313311,6.79552343500465e-07
"ENSG00000162496",5.44485246470426,6.75890009341999e-07
"ENSG00000172965",6.30627353389061,6.71681840736685e-07
"ENSG00000274523",3.50396145442282,6.43736781638817e-07
"ENSG00000188672",6.60929402422583,6.91550221717126e-07
"ENSG00000158856",6.06263049713198,6.79552343500465e-07
"ENSG00000134109",-9.36523017722889,6.75890009341999e-07
"ENSG00000158089",-13.5133925882751,6.43736781638817e-07
"ENSG00000139687",-10.1750719734567,6.84534348427914e-07
"ENSG00000167280",5.31603379297518,6.79552343500465e-07
"ENSG00000108830",4.44281818430301,6.82413237066366e-07
"ENSG00000168461",3.69753205067743,6.7314071748442e-07
"ENSG00000269600",8.78732275269139,6.99836032684978e-07
"ENSG00000165238",5.11086478360713,6.79552343500465e-07
"ENSG00000136573",-5.74512399820117,6.99010765362043e-07
"ENSG00000204257",-7.70125094399588,7.0345923165934e-07
"ENSG00000025039",-5.17500328169737,6.99836032684978e-07
"ENSG00000023171",-13.044654619001,6.94366195347983e-07
"ENSG00000156711",-9.71883992235174,7.09165238382001e-07
"ENSG00000180921",4.51276122530168,6.81947006317373e-07
"ENSG00000178814",4.81280506239451,6.99836032684978e-07
"ENSG00000128591",5.76523369118705,6.7830645849512e-07
"ENSG00000162576",3.43502771149037,6.79552343500465e-07
"ENSG00000283632",5.78966698697232,7.12996689074118e-07
"ENSG00000070526",5.00334735704766,6.84534348427914e-07
